epoch,acc,auc,auprc,learning_rate,loss,precision,recall,val_acc,val_auc,val_auprc,val_loss,val_precision,val_recall
0,0.7447860836982727,0.8345014452934265,0.5957450270652771,9.999999747378752e-05,0.502676784992218,0.462207168340683,0.7789918184280396,0.7715827226638794,0.8703241348266602,0.6755639314651489,0.4334981143474579,0.48802947998046875,0.8137154579162598
1,0.7800325751304626,0.8654156923294067,0.6557179093360901,9.999999747378752e-05,0.4588736295700073,0.5088812708854675,0.8110255599021912,0.8325089812278748,0.8675128221511841,0.6672520637512207,0.36159610748291016,0.6339492201805115,0.5619242787361145
2,0.7770532369613647,0.8735789656639099,0.6761433482170105,9.999999747378752e-05,0.44517651200294495,0.5047133564949036,0.8110255599021912,0.8172212243080139,0.8778998851776123,0.682183027267456,0.3792705237865448,0.5659164190292358,0.7205731868743896
3,0.7864410877227783,0.8807816505432129,0.6902286410331726,9.999999747378752e-05,0.4328777492046356,0.517707347869873,0.8276633024215698,0.8017086386680603,0.8826126456260681,0.6972744464874268,0.41989997029304504,0.53273606300354,0.7911975383758545
4,0.7912755012512207,0.8856918811798096,0.7068682312965393,9.999999747378752e-05,0.42460817098617554,0.524755597114563,0.8264216780662537,0.8194694519042969,0.8792322874069214,0.6858871579170227,0.3843226432800293,0.5677570104598999,0.746161699295044
5,0.7981898784637451,0.8914043307304382,0.716503918170929,9.999999747378752e-05,0.4156692326068878,0.5348096489906311,0.8336230516433716,0.8295863270759583,0.881393551826477,0.697024941444397,0.3599722683429718,0.5987375974655151,0.6796315312385559
6,0.8075215220451355,0.9050748944282532,0.7488832473754883,2.9999999242136255e-05,0.38789376616477966,0.5485273003578186,0.8462875485420227,0.8286870718002319,0.8851714730262756,0.7063183784484863,0.3671107590198517,0.589211642742157,0.7267144322395325
7,0.8143234848976135,0.9098604917526245,0.7595041990280151,2.9999999242136255e-05,0.3782951235771179,0.5589384436607361,0.8524956703186035,0.8307104110717773,0.8844139575958252,0.7009221315383911,0.36476534605026245,0.5977312326431274,0.7011259198188782
8,0.819888710975647,0.9144226312637329,0.7696168422698975,2.9999999242136255e-05,0.368124395608902,0.5678706765174866,0.8549789190292358,0.7909172773361206,0.8866228461265564,0.7032970190048218,0.4280077815055847,0.5147891640663147,0.837256908416748
9,0.8202822208404541,0.9178761839866638,0.775679349899292,2.9999999242136255e-05,0.36054348945617676,0.5680997967720032,0.8596970438957214,0.8318345546722412,0.8837766647338867,0.6998704671859741,0.3596400022506714,0.6032461524009705,0.6847492456436157
10,0.8264095783233643,0.921536922454834,0.7826677560806274,2.9999999242136255e-05,0.35334113240242004,0.5781328082084656,0.8626769185066223,0.8190197944641113,0.8809272646903992,0.6902832984924316,0.3745739758014679,0.5690208673477173,0.7256909012794495
11,0.8355163335800171,0.9334271550178528,0.8131344318389893,8.999999408842996e-06,0.3253228962421417,0.5912783741950989,0.885522723197937,0.8241906762123108,0.8802604675292969,0.690190315246582,0.3836270272731781,0.5841242671012878,0.6929375529289246
